platform,raw_text,created_at,url,metadata
twitter,Zepto > Blinkit for healthpharmacy. Change my mind. BigBasket still wins here for me.,2024-12-03T23:37:58+00:00,https://twitter.com/user/status/3000000000,"{""source"":""twitter_csv""}"
twitter,Blinkit missing diapers again. Why no babycare section? @Blinkit Instamart has better variety lately.,2023-12-11T11:19:53+00:00,https://twitter.com/user/status/3000000001,"{""source"":""twitter_csv""}"
twitter,Only use Blinkit for milk. Everything else from Amazon. #petsupplies Nykaa feels safer for this purchase.,2024-07-05T16:32:26+00:00,https://twitter.com/user/status/3000000002,"{""source"":""twitter_csv""}"
twitter,Zepto > Blinkit for stationery. Change my mind. Amazon is my fallback always.,2025-03-21T21:00:52+00:00,https://twitter.com/user/status/3000000003,"{""source"":""twitter_csv""}"
twitter,Zepto > Blinkit for healthpharmacy. Change my mind. Would buy if assortment improved.,2023-06-15T03:58:48+00:00,https://twitter.com/user/status/3000000004,"{""source"":""twitter_csv""}"
twitter,Blinkit missing dog food again. Why no petsupplies section? @Blinkit Needs better in-app discovery.,2025-02-03T22:49:41+00:00,https://twitter.com/user/status/3000000005,"{""source"":""twitter_csv""}"
twitter,Zepto > Blinkit for personalcare. Change my mind. Never saw an promo for this category.,2024-09-27T16:28:58+00:00,https://twitter.com/user/status/3000000006,"{""source"":""twitter_csv""}"
twitter,Only use Blinkit for milk. Everything else from Amazon. #babycare Category tab feels hidden.,2023-11-01T08:28:54+00:00,https://twitter.com/user/status/3000000007,"{""source"":""twitter_csv""}"
twitter,Blinkit missing earphones again. Why no electronics section? @Blinkit Search never surfaces these products.,2024-09-02T08:14:34+00:00,https://twitter.com/user/status/3000000008,"{""source"":""twitter_csv""}"
twitter,Only use Blinkit for milk. Everything else from Amazon. #electronics Price seems higher than competitors.,2023-10-24T01:17:28+00:00,https://twitter.com/user/status/3000000009,"{""source"":""twitter_csv""}"
twitter,Blinkit missing vitamins again. Why no healthpharmacy section? @Blinkit,2024-10-05T20:34:28+00:00,https://twitter.com/user/status/3000000010,"{""source"":""twitter_csv""}"
twitter,Zepto > Blinkit for petsupplies. Change my mind. Delivery was fine though.,2023-07-11T09:56:39+00:00,https://twitter.com/user/status/3000000011,"{""source"":""twitter_csv""}"
twitter,Only use Blinkit for milk. Everything else from Amazon. #homeessentials Might switch to Zepto next time.,2025-02-22T05:50:53+00:00,https://twitter.com/user/status/3000000012,"{""source"":""twitter_csv""}"
twitter,Only use Blinkit for milk. Everything else from Amazon. #personalcare Been using Blinkit for two years.,2023-01-07T17:43:06+00:00,https://twitter.com/user/status/3000000013,"{""source"":""twitter_csv""}"
twitter,Zepto > Blinkit for petsupplies. Change my mind. Same thought last month.,2024-11-03T08:20:25+00:00,https://twitter.com/user/status/3000000014,"{""source"":""twitter_csv""}"
twitter,Zepto > Blinkit for homeessentials. Change my mind. Noticed this after the app update.,2023-10-03T06:35:08+00:00,https://twitter.com/user/status/3000000015,"{""source"":""twitter_csv""}"
twitter,Zepto > Blinkit for personalcare. Change my mind. My friends feel the same.,2023-07-19T10:25:11+00:00,https://twitter.com/user/status/3000000016,"{""source"":""twitter_csv""}"
twitter,Only use Blinkit for milk. Everything else from Amazon. #babycare Especially in Bangalore.,2024-05-14T23:12:18+00:00,https://twitter.com/user/status/3000000017,"{""source"":""twitter_csv""}"
twitter,Only use Blinkit for milk. Everything else from Amazon. #groceries Happens every reorder cycle.,2024-01-21T15:00:46+00:00,https://twitter.com/user/status/3000000018,"{""source"":""twitter_csv""}"
twitter,Only use Blinkit for milk. Everything else from Amazon. #stationery Wish the homepage showed this category.,2024-06-16T14:42:09+00:00,https://twitter.com/user/status/3000000019,"{""source"":""twitter_csv""}"
twitter,Only use Blinkit for milk. Everything else from Amazon. #stationery BigBasket still wins here for me.,2023-07-27T04:27:44+00:00,https://twitter.com/user/status/3000000020,"{""source"":""twitter_csv""}"
twitter,Only use Blinkit for milk. Everything else from Amazon. #personalcare Instamart has better variety lately.,2025-03-06T19:43:40+00:00,https://twitter.com/user/status/3000000021,"{""source"":""twitter_csv""}"
twitter,Zepto > Blinkit for stationery. Change my mind. Nykaa feels safer for this purchase.,2025-04-30T23:41:12+00:00,https://twitter.com/user/status/3000000022,"{""source"":""twitter_csv""}"
twitter,Zepto > Blinkit for healthpharmacy. Change my mind. Amazon is my fallback always.,2025-05-09T23:00:59+00:00,https://twitter.com/user/status/3000000023,"{""source"":""twitter_csv""}"
twitter,Blinkit missing earphones again. Why no electronics section? @Blinkit Would buy if assortment improved.,2023-11-22T18:39:21+00:00,https://twitter.com/user/status/3000000024,"{""source"":""twitter_csv""}"
twitter,Zepto > Blinkit for stationery. Change my mind. Needs better in-app discovery.,2024-06-20T09:28:39+00:00,https://twitter.com/user/status/3000000025,"{""source"":""twitter_csv""}"
twitter,Zepto > Blinkit for personalcare. Change my mind. Category tab feels hidden.,2023-10-04T05:20:16+00:00,https://twitter.com/user/status/3000000026,"{""source"":""twitter_csv""}"
twitter,Zepto > Blinkit for healthpharmacy. Change my mind. Category tab feels hidden.,2023-06-29T06:37:10+00:00,https://twitter.com/user/status/3000000027,"{""source"":""twitter_csv""}"
twitter,Zepto > Blinkit for healthpharmacy. Change my mind. Search never surfaces these products.,2025-01-16T05:29:19+00:00,https://twitter.com/user/status/3000000028,"{""source"":""twitter_csv""}"
twitter,Zepto > Blinkit for groceries. Change my mind. Price seems higher than competitors.,2025-04-09T09:20:21+00:00,https://twitter.com/user/status/3000000029,"{""source"":""twitter_csv""}"
twitter,Only use Blinkit for milk. Everything else from Amazon. #stationery,2023-01-20T20:07:09+00:00,https://twitter.com/user/status/3000000030,"{""source"":""twitter_csv""}"
twitter,Blinkit missing diapers again. Why no babycare section? @Blinkit Delivery was fine though.,2024-08-14T15:52:28+00:00,https://twitter.com/user/status/3000000031,"{""source"":""twitter_csv""}"
