review_text,score,at,review_url,user_name
Blinkit is great for groceries but I never think to order baby care here.,3,2024-03-03T05:50:10+00:00,https://play.google.com/store/apps/details/review/100000,user_0
"Blinkit pe personal care nahi milta, Amazon se order karta hoon. Delivery was fine though.",4,2023-06-09T05:17:49+00:00,https://play.google.com/store/apps/details/review/100001,user_1
Didn't know Blinkit sells baby care until my friend mentioned it. Might switch to Zepto next time.,1,2024-10-17T10:23:08+00:00,https://play.google.com/store/apps/details/review/100002,user_2
Why doesn't Blinkit have diapers? I always buy from Amazon instead. Been using Blinkit for two years.,4,2023-12-28T10:13:36+00:00,https://play.google.com/store/apps/details/review/100003,user_3
Didn't know Blinkit sells pet supplies until my friend mentioned it. Same thought last month.,5,2023-11-05T21:12:17+00:00,https://play.google.com/store/apps/details/review/100004,user_4
Why doesn't Blinkit have milk? I always buy from Amazon instead. Noticed this after the app update.,4,2024-11-28T19:43:37+00:00,https://play.google.com/store/apps/details/review/100005,user_5
Good app but missing dog food. Nykaa has better personal care range. My friends feel the same.,4,2023-09-06T00:31:50+00:00,https://play.google.com/store/apps/details/review/100006,user_6
Fast delivery for milk and bread but health pharmacy selection is very limited. Especially in Bangalore.,3,2023-08-30T12:41:45+00:00,https://play.google.com/store/apps/details/review/100007,user_7
Blinkit is great for groceries but I never think to order health pharmacy here. Happens every reorder cycle.,4,2023-05-25T01:48:56+00:00,https://play.google.com/store/apps/details/review/100008,user_8
Good app but missing vitamins. Nykaa has better personal care range. Wish the homepage showed this category.,4,2024-06-18T07:35:55+00:00,https://play.google.com/store/apps/details/review/100009,user_9
"Blinkit pe pet supplies nahi milta, Amazon se order karta hoon. BigBasket still wins here for me.",4,2024-12-14T16:36:03+00:00,https://play.google.com/store/apps/details/review/100010,user_10
Blinkit is great for groceries but I never think to order groceries here. Instamart has better variety lately.,3,2025-05-07T13:33:59+00:00,https://play.google.com/store/apps/details/review/100011,user_11
Didn't know Blinkit sells health pharmacy until my friend mentioned it. Nykaa feels safer for this purchase.,5,2023-10-26T17:02:17+00:00,https://play.google.com/store/apps/details/review/100012,user_12
"Blinkit pe pet supplies nahi milta, Amazon se order karta hoon. Amazon is my fallback always.",5,2023-12-21T00:39:48+00:00,https://play.google.com/store/apps/details/review/100013,user_13
Good app but missing diapers. Nykaa has better personal care range. Would buy if assortment improved.,5,2023-12-28T15:04:23+00:00,https://play.google.com/store/apps/details/review/100014,user_14
Fast delivery for milk and bread but groceries selection is very limited. Needs better in-app discovery.,4,2024-12-05T08:21:40+00:00,https://play.google.com/store/apps/details/review/100015,user_15
Why doesn't Blinkit have vitamins? I always buy from Amazon instead. Never saw an promo for this category.,4,2024-07-29T01:20:48+00:00,https://play.google.com/store/apps/details/review/100016,user_16
"Blinkit pe stationery nahi milta, Amazon se order karta hoon. Category tab feels hidden.",4,2023-04-21T22:04:42+00:00,https://play.google.com/store/apps/details/review/100017,user_17
Didn't know Blinkit sells personal care until my friend mentioned it. Search never surfaces these products.,2,2024-01-16T07:12:46+00:00,https://play.google.com/store/apps/details/review/100018,user_18
Fast delivery for milk and bread but groceries selection is very limited. Price seems higher than competitors.,3,2025-05-15T04:35:29+00:00,https://play.google.com/store/apps/details/review/100019,user_19
Good app but missing vitamins. Nykaa has better personal care range.,3,2023-03-28T21:31:04+00:00,https://play.google.com/store/apps/details/review/100020,user_20
Good app but missing dog food. Nykaa has better personal care range. Delivery was fine though.,4,2024-05-05T00:56:31+00:00,https://play.google.com/store/apps/details/review/100021,user_21
Why doesn't Blinkit have diapers? I always buy from Amazon instead. Might switch to Zepto next time.,5,2025-05-31T02:00:17+00:00,https://play.google.com/store/apps/details/review/100022,user_22
Why doesn't Blinkit have vitamins? I always buy from Amazon instead. Been using Blinkit for two years.,4,2025-02-14T12:41:25+00:00,https://play.google.com/store/apps/details/review/100023,user_23
Why doesn't Blinkit have detergent? I always buy from Amazon instead. Same thought last month.,2,2024-02-16T11:26:54+00:00,https://play.google.com/store/apps/details/review/100024,user_24
"Blinkit pe stationery nahi milta, Amazon se order karta hoon. Noticed this after the app update.",5,2024-10-27T13:10:14+00:00,https://play.google.com/store/apps/details/review/100025,user_25
Fast delivery for milk and bread but groceries selection is very limited. My friends feel the same.,5,2023-12-07T16:52:13+00:00,https://play.google.com/store/apps/details/review/100026,user_26
Didn't know Blinkit sells personal care until my friend mentioned it. Especially in Bangalore.,2,2025-02-05T15:36:14+00:00,https://play.google.com/store/apps/details/review/100027,user_27
Good app but missing dog food. Nykaa has better personal care range. Happens every reorder cycle.,2,2023-06-20T08:00:57+00:00,https://play.google.com/store/apps/details/review/100028,user_28
Good app but missing shampoo. Nykaa has better personal care range. Wish the homepage showed this category.,4,2024-10-17T19:15:51+00:00,https://play.google.com/store/apps/details/review/100029,user_29
I wish Blinkit had more brands in groceries. Zepto seems better for that. BigBasket still wins here for me.,4,2024-12-28T02:09:52+00:00,https://play.google.com/store/apps/details/review/100030,user_30
"Blinkit pe pet supplies nahi milta, Amazon se order karta hoon. Instamart has better variety lately.",4,2023-06-27T22:47:54+00:00,https://play.google.com/store/apps/details/review/100031,user_31
